Barkod,Ürün Adı,Maliyet (TL),Kargo (TL),Komisyon (%)
AYT012ZAZA0003,Usta İşi Pirinç İşlemeli ve Doğal Taşlı Zamak Zaza Tesbih - Özel Tasarım Zebercet Taşı (Peridot),519.6,100.0,22.5
AYT012ZAZA0008,Usta İşi Pirinç İşlemeli ve Doğal Taşlı Zamak Zaza Tesbih - Özel Tasarım Zebercet Taşı (Peridot),519.6,100.0,22.5
AYT012ZAZA0004,Usta İşi Pirinç İşlemeli ve Doğal Taşlı Zamak Zaza Tesbih - Özel Tasarım Akik Taşı,519.6,100.0,22.5
AYT012ZAZA0014,Usta İşi Pirinç İşlemeli ve Doğal Taşlı Zamak Zaza Tesbih - Özel Tasarım,519.6,100.0,22.5
AYT012ZAZA0009,Usta İşi Pirinç İşlemeli ve Doğal Taşlı Zamak Zaza Tesbih - Özel Tasarım,519.6,100.0,22.5
AYT012ZAZA0010,Usta İşi Pirinç İşlemeli ve Doğal Taşlı Zamak Zaza Tesbih - Özel Tasarım,519.6,100.0,22.5
AYT012ZAZA0012,Usta İşi Pirinç İşlemeli ve Doğal Taşlı Zamak Zaza Tesbih - Özel Tasarım,519.6,100.0,22.5
AYT012ZAZA0002,Usta İşi Pirinç İşlemeli ve Doğal Taşlı Zamak Zaza Tesbih - Özel Tasarım Akik Taşı,519.6,100.0,22.5
AYT012ZAZA0015,Usta İşi Pirinç İşlemeli ve Doğal Taşlı Zamak Zaza Tesbih - Özel Tasarım,519.6,100.0,22.5
AYT012ZAZA0017,Usta İşi Pirinç İşlemeli ve Doğal Taşlı Zamak Zaza Tesbih - Özel Tasarım,519.6,100.0,22.5
AYT012ZAZA0011,Usta İşi Pirinç İşlemeli ve Doğal Taşlı Zamak Zaza Tesbih - Özel Tasarım,519.6,100.0,22.5
AYT012ZAZA0007,Usta İşi Pirinç İşlemeli ve Doğal Taşlı Zamak Zaza Tesbih - Özel Tasarım Akik Taşı,519.6,100.0,22.5
AYT012ZAZA0016,Usta İşi Pirinç İşlemeli ve Doğal Taşlı Zamak Zaza Tesbih - Özel Tasarım,519.6,100.0,22.5
AYT012ZAZA0001,Usta İşi Pirinç İşlemeli ve Doğal Taşlı Zamak Zaza Tesbih - Özel Tasarım Kaplan Gözü Taşı,519.6,100.0,22.5
AYT002LAJA1706,El Yapımı Bakır Bileklik | Etnik Desenli UV Baskı | Unisex Tasarım,232.0,100.0,22.5
AYT002LAJA1703,El Yapımı Bakır Bileklik | Etnik Desenli UV Baskı | Unisex Tasarım,232.0,100.0,22.5
AYT002BKR1020SET,"El Yapımı Saf Bakır Bileklik ve Yüzük - Çekiç Desenli, Unisex, Şık ve Sağlıklı",260.0,100.0,22.5
